btype;pol;pkg;vceo;ic;hfe;ft_hz;pwr_w;comment
2N916;NPN;TO18;25;0.1;50-200;250M;0.36;undef
2N1132;PNP;TO39;50;0.6;30-90;50M;0.6;undef
2N1208;NPN;TO61;60;5;15min;3M;85;undef
2N1209;NPN;TO61;45;5;20min;3M;85;undef
2N1483A;NPN;TO8;40;3;20-200;1.2M;25;undef
2N1484A;NPN;TO8;55;3;20-200;1.2M;25;undef
2N1485A;NPN;TO8;40;3;35-200;1.2M;25;undef
2N1486A;NPN;TO8;55;3;35-200;1.2M;25;undef
2N1507;NPN;TO39;30;1;150typ;50M;0.6;undef
2N1613;NPN;TO39;50;0.5;40-120;70M;0.8;undef
2N1613L;NPN;TO5;50;0.5;40-120;70M;0.8;undef
2N1616;NPN;TO61;60;5;15-75;3M;85;undef
2N1617;NPN;TO61;70;5;15-75;3M;85;undef
2N1618;NPN;TO61;80;5;15-75;3M;85;undef
2N1711;NPN;TO39;50;0.5;40-120;70M;0.8;undef
2N1716;NPN;TO39;60;0.75;40min;16M;0.8;undef
2N1724;NPN;TO61;80;5;20-90;10M;100;undef
2N1724A;NPN;TO61;12;5;30-90;10M;100;undef
2N1725;NPN;TO61;80;5;50-150;10M;100;undef
2N1889;NPN;TO39;60;0.25;40-120;50M;0.8;undef
2N1890;NPN;TO39;60;0.25;100-300;50M;0.8;undef
2N1893;NPN;TO39;80;0.5;30min;50M;0.8;undef
2N1936;NPN;TO63;60;20;Oct-50;4M;150;undef
2N1937;NPN;TO63;80;20;Oct-50;4M;150;undef
2N1991;PNP;TO39;20;0.3;15-60;40M;0.6;undef
2N2060;PNP;TO77;80;0.5;40-120;60M;0.6;undef
2N2060A;PNP;TO77;80;0.5;40-120;60M;0.6;undef
2N2102;NPN;TO39;65;1;35min;60M;1;undef
2N2192;NPN;TO39;40;1;100-300;50M;0.8;undef
2N2192A;NPN;TO39;40;1;100-300;50M;0.8;undef
2N2192L;NPN;TO5;40;1;100-300;50M;0.8;undef
2N2193;NPN;TO39;50;1;40-120;50M;0.8;undef
2N2193A;NPN;TO39;50;1;40-120;50M;0.8;undef
2N2194;NPN;TO39;40;1;2.5;50M;800mW;undef
2N2194A;NPN;TO39;40;1;2.5;50M;800mW;undef
2N2218;NPN;TO39;30;0.8;40-120;250M;0.8;undef
