SIRUTA;DENLOC;CODP;JUD;SIRSUP;TIP;NIV;MED;FSJ;FSL;RANG;obs1;obs2;obs3
10;JUDEŢUL ALBA;0;1;1;40;1;0;1;100000000000;;asta;este;judet
1017;MUNICIPIUL ALBA IULIA;0;1;10;1;2;1;1;111673000000;II;asta;este;mun
1026;ALBA IULIA;0;1;1017;9;3;1;1;111673100085;II;asta;este;loc
1035;BARABANŢ;510001;1;1017;10;3;1;1;111673500731;V;;;
1044;MICEŞTI;510002;1;1017;10;3;1;1;111673507383;V;;;
1053;OARDA;510003;1;1017;10;3;1;1;111673508122;V;;;
29;JUDEŢUL ARAD;0;2;1;40;1;0;2;200000000000;;;;
9262;MUNICIPIUL ARAD;0;2;29;1;2;1;2;211675000000;II;;;
9271;ARAD;0;2;9262;9;3;1;2;211675100258;II;;;
9459;ORAŞ CHIŞINEU-CRIŞ;0;2;29;2;2;1;2;231921000000;III;;;
9468;CHIŞINEU-CRIŞ;315100;2;9459;17;3;1;2;231921202612;III;;;
9477;NADAB;315101;2;9459;19;3;1;2;231921607858;V;;;
38;JUDEŢUL ARGEŞ;0;3;1;40;1;0;3;300000000000;;;;
13169;MUNICIPIUL PITEŞTI;0;3;38;1;2;1;3;311733000000;II;;;
13178;PITEŞTI;0;3;13169;9;3;1;3;311733108895;II;;;
13490;MUNICIPIUL CÂMPULUNG;0;3;38;4;2;1;3;321696000000;II;;;
13506;CÂMPULUNG;115100;3;13490;9;3;1;3;321696102323;II;;;
13515;VALEA RUMÂNEŞTILOR;115101;3;13490;10;3;1;3;321696512951;V;;;
